make,model,trim,count
AMC,Comanche,Base 2WD,1
Acura,CL,Type S,34
Acura,Convertible,Targa,1
Acura,Coupe,Coupe,2
Acura,Escape,SEDAN,1
Acura,GS,GS,1
Acura,GS,SEDAN,1
Acura,ILX,Premium,1049
Acura,Integra,LS,11
Acura,LS,LS,4
Acura,Legend,Leather,3
Acura,MDX,Technology Package,4395
Acura,NSX,Base,67
Acura,RDX,Technology Package,2462
Acura,RL,Base,166
Acura,RLX,Technology Package,141
Acura,RSX,Base,65
Acura,SLX,Base,3
Acura,TL,Base,1170
Acura,TLX,Technology Package,1766
Acura,TSX,Base,886
Acura,Vigor,GS,1
Acura,ZDX,Technology Package,30
Alfa Romeo,164,LS,1
Alfa Romeo,164,Speed,1
Alfa Romeo,4C,Base,31
Alfa Romeo,900,Spider,1
Alfa Romeo,Convertible,Spider,9
Alfa Romeo,Giulia,Ti,563
Alfa Romeo,Gtv-6,Base,1
Alfa Romeo,M,4,1
Alfa Romeo,Roadster,Spider,2
Alfa Romeo,Spider,Veloce Convertible,4
Alfa Romeo,Spyder,Spider,1
Alfa Romeo,Stelvio,Ti,514
Am General,Altima,SE,1
Am General,H1,4-Door,4
Am General,Hummer,Base,35
Am General,LX,MV,1
Aston Martin,Convertible,Speed,1
Aston Martin,Coupe,V8,2
Aston Martin,DB11,Base,128
Aston Martin,DB7,Base,14
Aston Martin,DB9,Base,82
Aston Martin,DBS,Base,25
Aston Martin,DBS Superleggera,Base,17
Aston Martin,DBX,Base,76
Aston Martin,Rapide,S,30
Aston Martin,V12 Vantage,S,18
Aston Martin,V8 Vantage,Base,75
Aston Martin,V8 Vantage Roadster,Base,1
Aston Martin,V8 Vantage Roadster SPORTSHIFT,Base,17
Aston Martin,V8 Vantage SPORTSHIFT,Base,11
Aston Martin,Vanquish,Base,44
Aston Martin,Vantage,Base,155
Aston Martin,Virage,Base,9
Audi,100,SEDAN,1
Audi,200,SEDAN,1
Audi,90,CS quattro,1
Audi,90,Quattro,1
Audi,90,S,1
Audi,A3,Premium,173
Audi,A3 Cabriolet,Premium,142
Audi,A3 Sedan,Premium,1964
Audi,A3 Sportback e-tron,Premium,87
Audi,A4,Premium,3489
Audi,A4 allroad,Premium Plus,8
Audi,A5,Premium,905
Audi,A5 Cabriolet,Premium Plus,392
Audi,A5 Coupe,Premium Plus,358
Audi,A5 Sportback,Premium Plus,784
Audi,A6,Premium Plus,1426
Audi,A6 Allroad,Premium Plus,7
